G  ;G  ;GT ;GT ;GT ;GT ;GT ;GT ;GT  ;GT  ;GFu ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;GFu  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT ;GT ;GT  ;GT; GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;
G  ;G  ;GT ;GT ;GT ;GT ;GT ;G  ;GFl ;GFl ;GFl ;GFl ;GFl ;GFu ;GFu ;G   ;GT  ;G   ;G   ;GFl  ;GFl  ;GFl ;GFl ;G   ;G   ;GFl ;GFl ;GFl ;GFl ;GT ;GT ;G   ;G ; G  ;G  ;GT ;GT ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;GT ;GT ;
G  ;G  ;GT ;GT ;GT ;G  ;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G  ;G  ;G   ;G ; G  ;G  ;GT ;GT ;G  ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G  ;G  ;GT ;GT ;
G  ;G  ;GFl;GFl;GFl;GFl;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G  ;G  ;G   ;G ; G  ;G  ;GT ;GT ;G  ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G  ;G  ;GT ;GT ;
G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;GFl ;GFl ;GFl ;G   ;G   ;GFl ;GFl ;GFl ;GT ;GT ;G   ;G ; G  ;G  ;GT ;GT ;G  ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G  ;G  ;GT ;GT ; G;
G  ;G  ;GFl;GFl;GFl;GFl;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;GT  ;G   ;G   ;GFu  ;GB   ;GB  ;GB  ;GB  ;GB  ;GB  ;GB  ;GB  ;GFu ;GT ;G  ;G   ;G ; G  ;G  ;G  ;G  ;G  ;GT ;GT ;GT ;GT ;GT ;GT ;G  ;G  ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G  ;GT ;GT ;
GT ;GT ;GT ;GT ;GT ;GT ;G  ;G  ;G   ;G   ;G   ;G   ;GT  ;GT  ;G   ;G   ;G   ;G   ;G   ;GFu  ;GB   ;GB  ;GB  ;GB  ;GB  ;GB  ;GB  ;GB  ;GFu ;GT ;G  ;G   ;G ; GT ;G  ;G  ;G  ;G  ;GT ;GT ;GT ;GT ;GT ;GT ;G  ;G  ;GT ;GT ;GT ;GT ;GT ;G  ;G  ;G  ;GT ;GT ;
GT ;GT ;GT ;GT ;GT ;GT ;GT ;G  ;G   ;G   ;GT  ;GT  ;GT  ;G   ;G   ;G   ;G   ;G   ;G   ;GFu  ;GB   ;GB  ;GB  ;GB  ;GB  ;GB  ;GB  ;GB  ;GFu ;GT ;G  ;G   ;G ; GT ;GT ;GT ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;
GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GFl  ;GFl  ;GFl ;GFl ;GFl ;GFl ;GFl ;GFl ;GFl ;GFl ;GT ;G  ;G   ;G ; GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;
GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT   ;GT   ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT  ;GT ;G  ;G   ;G ; G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;
GT ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G  ;G  ;G   ;G ; G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;
GT ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G  ;G  ;G   ;G ; G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;
GT ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G  ;G  ;G   ;G ; G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;
GT ;GT ;GT ;GT ;G  ;G  ;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G  ;G  ;G   ;G ; G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;
G  ;G  ;G  ;G  ;G  ;G  ;G  ;G  ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G    ;G    ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G   ;G  ;G  ;G   ;G ; G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;G ;
